hn_count,hn_uptime,wait,test_per_slots,hn_to_juror,hn_to_hn,juror_to_juror,size_round,bps_per_node,mean_path,time_to_sync,disconnected,avg_degree,avg_degree_juror,min_degree_juror,max_degree_juror,avg_degree_non_juror
200,0.9,10,5,2,21,7,30958378432.0,343981.0,1.7983425414364629,20.0,0.0,35.170000000000044,35.602209944751394,31.0526315789474,23.0,38.0
200,0.9,10,5,2,21,8,33018162496.0,366868.0,1.7937132784958865,20.0,0.0,37.5100000000001,38.37704918032793,28.176470588235265,0.0,44.0
200,0.9,10,5,2,21,9,29285904192.0,325398.0,1.7969129720853827,20.0,0.0,33.26999999999999,33.950276243093874,26.789473684210538,0.0,41.0
200,0.9,10,5,2,21,10,31292873280.0,347698.0,1.7941651148355036,20.0,0.0,35.55000000000006,35.63736263736258,34.66666666666662,0.0,42.0
200,0.9,10,5,2,21,11,32313962816.0,359044.0,1.797160845806606,20.0,0.0,36.71000000000001,36.80110497237559,35.84210526315791,0.0,46.0
200,0.9,10,5,2,21,12,33819189632.0,375768.0,1.79615893278132,20.0,0.0,38.420000000000044,38.370165745856404,38.89473684210534,0.0,51.0
200,0.9,10,5,2,22,6,33819189632.0,375768.0,1.790246768507641,20.0,0.0,38.420000000000066,39.69230769230763,25.55555555555561,0.0,43.0
200,0.9,10,5,2,22,7,31953060480.0,355034.0,1.7901924270639349,20.0,0.0,36.30000000000006,37.082872928176705,28.842105263157915,0.0,40.0
200,0.9,10,5,2,22,8,33713559680.0,374595.0,1.7911868390129273,20.0,0.0,38.30000000000006,39.088397790055275,30.78947368421052,0.0,43.0
200,0.9,10,5,2,22,9,31627368128.0,351415.0,1.7892464927315437,20.0,0.0,35.92999999999996,37.12154696132608,24.578947368421083,0.0,44.0
200,0.9,10,5,2,22,10,31803418048.0,353371.0,1.789718159563116,20.0,0.0,36.13000000000008,36.97237569060778,28.1052631578947,0.0,45.0
200,0.9,10,5,2,22,11,35368428928.0,392982.0,1.7878598247809785,20.0,0.0,40.17999999999994,40.109890109890216,40.8888888888888,33.0,47.0
200,0.9,10,5,2,22,12,31618565632.0,351317.0,1.7869157678479721,20.0,0.0,35.920000000000044,35.351648351648265,41.666666666666615,37.0,46.0
200,0.9,10,5,2,23,6,31750603072.0,352784.0,1.7837057010785857,20.0,0.0,36.07000000000004,36.85082872928172,28.631578947368368,21.0,38.0
200,0.9,10,5,2,23,7,32199530368.0,357772.0,1.7828710837185404,20.0,0.0,36.579999999999956,37.906077348066354,23.947368421052637,0.0,36.0
200,0.9,10,5,2,23,8,31319280768.0,347992.0,1.7816091954022972,20.0,0.0,35.579999999999956,36.81215469613254,23.842105263157915,0.0,38.0
200,0.9,10,5,2,23,9,31724195584.0,352491.0,1.7771576639425952,20.0,0.0,36.03999999999997,37.20441988950278,24.947368421052637,0.0,40.0
200,0.9,10,5,2,23,10,30403821184.0,337820.0,1.78403372773018,20.0,0.0,34.53999999999997,34.50273224043713,34.94117647058828,0.0,45.0
200,0.9,10,5,2,23,11,34875489152.0,387505.0,1.781480161558563,20.0,0.0,39.61999999999992,39.96685082872921,36.31578947368417,0.0,48.0
200,0.9,10,5,2,23,12,33951227072.0,377235.0,1.7787709497206683,20.0,0.0,38.570000000000064,39.06629834254138,33.84210526315791,0.0,48.0
200,0.9,10,5,2,24,6,37604262912.0,417825.0,1.7743770622368826,20.0,0.0,42.71999999999993,44.524861878453024,25.52631578947372,0.0,40.0
200,0.9,10,5,2,24,7,34673031744.0,385255.0,1.7732464307883324,20.0,0.0,39.389999999999965,40.76795580110501,26.263157894736818,0.0,38.0
200,0.9,10,5,2,24,8,35685318784.0,396503.0,1.7747552993454603,20.0,0.0,40.53999999999997,41.30386740331496,33.263157894736786,27.0,39.0
200,0.9,10,5,2,24,9,38273252608.0,425258.0,1.7714757082717059,20.0,0.0,43.47999999999999,45.33701657458559,25.78947368421054,0.0,40.0
200,0.9,10,5,2,24,10,36926470720.0,410294.0,1.7719741480611046,20.0,0.0,41.949999999999925,43.02209944751385,31.736842105263207,0.0,42.0
200,0.9,10,5,2,24,11,36178258560.0,401980.0,1.7715726896054773,20.0,0.0,41.09999999999994,41.62983425414362,36.05263157894741,0.0,49.0
200,0.9,10,5,2,24,12,34611414272.0,384571.0,1.7725817588349744,20.0,0.0,39.32000000000007,39.54696132596691,37.15789473684209,0.0,48.0
200,0.9,10,5,2,25,6,39399972096.0,437777.0,1.766070021389169,20.0,0.0,44.76000000000012,46.58563535911608,27.368421052631632,0.0,41.0
200,0.9,10,5,2,25,7,37384200512.0,415380.0,1.766690425279165,20.0,0.0,42.46999999999992,43.46153846153851,32.44444444444438,23.0,43.0
200,0.9,10,5,2,25,8,38308462592.0,425649.0,1.76310223266745,20.0,0.0,43.52000000000001,45.02762430939222,29.157894736842092,0.0,42.0
200,0.9,10,5,2,25,9,35949393664.0,399437.0,1.7631033833406569,20.0,0.0,40.84000000000006,42.13186813186812,27.777777777777814,0.0,40.0
200,0.9,10,5,2,25,10,35069144064.0,389657.0,1.7645737031330282,20.0,0.0,39.84000000000005,40.98895027624304,28.894736842105303,0.0,42.0
200,0.9,10,5,2,25,11,39796084416.0,442178.0,1.7636249857776796,20.0,0.0,45.21000000000003,45.63736263736256,40.8888888888888,33.0,50.0
